"MonthlyIncome","ActiveSinceDays","Age","Graduate","Married","Single","NoOfChildren","NoOfTeenager","NoOfDaysSinceLastPurchase","NoOfDealsWithDiscount","NoOfWebPurchase","NoOfCatalogPurchase","NoOfStorePurchase","NoOfWebVisitsMonth","TotalNoOfCampaignAccepted","CustomerComplain","Cluster"
68126,2755,29,1,0,1,0,0,40,1,7,4,5,9,1,0,0
57288,2163,57,1,1,0,0,1,27,3,8,1,8,6,1,0,0
86037,2702,29,1,0,1,0,0,95,1,6,7,11,3,2,0,0
43974,2723,40,1,1,0,1,0,19,5,6,4,6,7,0,0,1
50785,2451,58,1,0,1,0,0,27,2,2,1,3,6,0,0,1
90765,2315,50,1,1,0,0,0,25,0,4,6,5,1,2,0,0
36550,2654,42,0,1,0,1,0,74,5,9,1,5,9,0,0,1
30753,2512,53,0,1,0,1,1,85,2,1,1,3,5,0,0,1
21918,2386,51,1,1,0,1,0,37,2,2,0,3,6,0,0,1
56129,2533,67,1,1,0,0,1,65,4,6,2,10,4,0,0,0
32557,2284,53,1,0,1,0,0,13,3,2,1,3,5,0,0,1
19510,2457,35,1,1,0,2,0,63,2,1,0,3,7,0,0,1
30992,2592,44,1,0,1,0,0,83,1,1,0,3,7,0,0,1
101970,2633,37,1,0,1,0,0,69,0,6,8,13,2,3,0,0
71488,2655,55,0,1,0,0,0,87,2,3,4,7,1,0,0,0
79607,2593,36,1,0,1,0,0,37,1,3,6,6,1,0,0,0
54348,2180,67,1,1,0,1,1,51,2,2,0,4,6,0,0,0
77376,2209,64,1,1,0,1,1,72,4,6,3,10,4,0,0,0
62998,2431,68,1,1,0,0,1,10,5,5,4,5,5,0,0,0
61331,2635,62,1,0,1,0,0,42,5,11,1,6,8,0,0,0
73448,2298,51,1,1,0,0,0,10,1,7,2,9,4,0,0,0
41551,2478,56,1,1,0,1,1,51,5,5,1,5,8,0,0,1
62981,2628,53,1,1,0,0,0,21,1,4,5,13,3,1,0,0
9548,2849,44,0,0,1,0,0,31,2,1,0,3,8,0,0,1
33762,2516,61,1,1,0,2,1,61,3,2,2,2,8,0,0,1
35860,2200,47,1,0,1,0,0,37,2,1,1,2,5,1,0,1
36921,2495,55,1,0,1,0,0,74,2,2,0,3,7,0,0,1
92859,2777,28,1,0,1,0,0,46,1,5,4,12,2,0,0,0
65104,2386,44,1,1,0,0,1,4,2,3,5,7,7,0,0,0
86111,2595,58,1,1,0,0,0,73,1,5,7,10,2,0,0,0
68352,2464,46,1,0,1,0,0,47,3,8,5,9,6,0,0,0
41883,2626,32,1,1,0,1,0,13,3,4,2,3,7,0,0,1
59809,2778,44,1,1,0,0,2,36,3,3,3,6,8,0,0,0
23957,2768,45,1,1,0,1,0,47,1,2,0,3,6,0,0,1
38547,2464,39,1,1,0,1,0,49,1,1,0,2,8,0,1,1
35688,2835,47,0,1,0,2,1,94,7,4,1,4,8,0,0,1
49605,2167,54,1,1,0,0,0,65,1,2,1,4,3,0,0,1
59354,2225,67,1,1,0,0,2,59,1,4,4,7,3,0,0,0
65747,2273,51,1,1,0,0,1,96,4,8,1,6,6,1,0,0
46344,2721,48,0,1,0,0,1,28,4,7,1,5,7,0,0,1
34176,2207,32,1,0,1,0,0,12,4,3,0,4,6,0,0,1
61010,2787,68,1,1,0,0,1,57,2,8,5,11,5,0,0,0
69372,2654,71,1,1,0,0,0,10,1,10,4,6,4,2,0,0
49967,2515,62,1,0,1,0,0,4,3,6,1,5,7,0,0,1
60199,2449,42,1,0,1,0,0,49,1,0,0,3,4,0,0,0
55375,2414,43,1,1,0,0,1,3,1,1,1,6,2,0,0,0
80317,2472,65,1,0,1,0,0,64,1,3,4,10,1,0,0,0
30523,2522,62,1,0,1,0,0,0,1,1,0,2,7,0,0,1
70356,2760,75,1,1,0,0,0,20,2,10,6,9,6,0,0,0
23228,2334,36,1,1,0,1,0,91,4,3,0,4,8,0,0,1
74165,2583,45,1,0,1,0,0,9,1,5,4,10,2,0,0,0
43482,2387,54,1,1,0,2,1,83,3,2,0,4,6,0,0,1
62551,2382,67,1,0,1,0,0,27,1,6,7,4,3,1,0,0
52332,2464,61,1,0,1,0,0,63,1,3,2,6,4,1,0,0
66951,2398,32,1,0,1,0,0,46,1,3,4,7,1,0,0,0
26091,2283,63,1,1,0,1,1,84,3,2,1,3,5,0,0,1
33456,2228,55,1,1,0,1,1,58,2,1,0,3,7,0,0,1
28718,2510,38,1,1,0,1,0,78,2,2,0,3,8,0,0,1
50447,2228,50,1,1,0,2,0,4,1,3,1,3,6,0,0,1
53537,2309,61,1,1,0,1,1,17,2,2,1,3,5,0,0,0
52074,2245,53,1,0,1,0,0,77,1,2,2,2,4,1,0,0
80427,2814,45,1,1,0,0,1,56,1,11,8,8,5,0,0,0
83837,2719,72,1,1,0,0,0,79,1,9,10,5,4,2,0,0
38853,2196,50,1,1,0,1,1,90,2,2,0,3,7,0,0,1
38285,2164,61,1,1,0,2,1,96,1,0,0,3,2,0,0,1
78497,2369,69,0,1,0,0,0,44,1,5,7,12,2,1,0,0
51650,2208,44,1,1,0,0,1,81,1,4,1,4,5,0,0,1
16248,2209,32,0,1,0,1,0,77,3,2,1,3,6,0,0,1
66835,2433,74,1,1,0,0,0,21,1,6,4,13,2,0,0,0
30477,2317,36,1,1,0,1,0,16,1,1,1,3,6,0,0,1
28249,2173,59,0,1,0,0,0,80,1,2,0,3,6,0,0,1
25271,2730,37,1,1,0,1,0,45,1,1,1,2,9,0,0,1
32303,2272,50,1,0,1,0,0,63,2,1,0,4,5,0,0,1
61286,2490,54,1,1,0,0,1,34,2,7,1,8,5,0,0,0
74068,2626,44,1,1,0,0,0,14,1,4,10,9,2,0,0,0
45759,2650,56,1,1,0,1,1,13,2,2,0,3,7,0,0,1
24882,2817,42,0,1,0,1,0,52,1,1,1,2,6,1,0,1
66973,2567,31,1,1,0,0,0,98,1,8,7,12,3,0,0,0
38872,2554,32,1,1,0,1,0,93,2,3,0,3,8,0,0,1
51148,2655,47,1,1,0,1,1,38,4,5,1,6,6,0,0,1
31353,2341,43,1,1,0,1,1,24,2,1,1,2,8,0,0,1
69661,2206,40,1,1,0,0,0,80,1,7,3,12,3,0,0,0
80067,2442,66,1,1,0,0,0,82,1,4,6,6,2,1,0,0
86718,2687,66,1,1,0,0,0,20,1,5,6,5,2,0,0,0
46854,2249,47,1,0,1,0,0,81,6,5,1,3,8,1,0,1
69142,2159,68,1,0,1,0,0,50,3,8,1,7,5,1,0,0
75922,2361,52,1,0,1,0,0,60,1,4,4,9,1,0,0,0
63693,2417,42,1,0,1,0,0,63,3,11,6,9,6,0,0,0
102160,2763,43,1,1,0,0,0,54,0,7,9,10,4,3,0,0
40637,2506,55,1,0,1,0,0,72,2,1,0,3,7,0,0,1
18890,2755,36,1,0,1,0,0,5,1,0,1,2,6,1,0,1
29604,2362,32,1,1,0,1,0,88,1,1,0,3,9,1,0,1
48721,2571,57,1,0,1,0,0,50,6,4,2,5,6,0,0,1
44794,2180,54,1,1,0,0,1,99,1,2,0,3,6,0,0,1
64497,2816,66,1,0,1,0,0,17,5,11,4,9,8,1,0,0
46097,2614,64,1,1,0,0,1,11,5,3,1,6,4,0,0,1
77972,2262,66,1,1,0,0,0,18,1,4,6,9,1,0,0,0
44377,2791,52,1,1,0,1,1,70,8,5,1,5,8,0,0,1
46014,2683,46,1,1,0,1,1,21,10,7,1,8,7,0,0,1
70951,2580,35,1,1,0,0,0,66,1,3,4,9,1,0,0,0
41443,2248,43,1,1,0,1,0,79,6,8,1,5,8,0,0,1
52195,2207,42,0,0,1,0,0,2,1,1,0,2,8,0,0,0
83790,2385,72,1,1,0,0,0,81,1,8,10,6,3,2,0,0
44551,2461,66,1,0,1,0,0,24,2,4,1,5,7,0,0,1
69508,2751,40,1,1,0,1,0,48,2,11,4,11,6,0,0,0
45204,2238,32,0,1,0,1,0,93,1,1,1,4,3,0,0,1
72460,2386,51,1,1,0,0,0,56,1,3,5,7,1,0,0,0
77622,2235,50,1,1,0,0,2,3,2,6,3,11,3,0,0,0
30732,2699,40,1,1,0,1,0,44,4,4,1,4,8,0,0,1
63887,2818,58,1,0,1,0,0,38,5,9,6,12,6,0,0,0
42011,2619,42,1,1,0,1,0,46,4,3,1,4,8,0,0,1
51369,2771,44,1,1,0,0,1,84,2,8,2,4,8,0,0,1
51537,2726,68,1,0,1,0,0,27,3,2,2,11,8,0,0,1
79930,2849,48,1,1,0,0,0,72,1,3,5,8,2,0,0,0
34320,2292,34,1,1,0,1,0,66,1,1,0,2,8,0,0,1
37070,2625,54,1,0,1,0,0,30,9,5,1,8,7,0,0,1
81975,2699,58,0,0,1,0,0,2,1,6,3,4,7,1,0,0
38590,2569,49,1,1,0,1,0,65,1,1,0,2,8,0,0,1
15033,2233,69,1,0,1,0,0,37,1,1,0,3,3,0,0,1
62745,2622,55,1,1,0,0,1,89,3,7,8,11,5,0,0,0
22212,2361,45,0,1,0,1,0,49,2,2,0,4,6,0,0,1
23661,2366,38,1,1,0,1,0,46,1,1,0,3,7,0,0,1
79761,2427,62,1,0,1,0,0,32,1,5,2,11,3,0,0,0
7500,2344,47,1,0,1,0,0,54,4,3,1,3,7,0,0,1
73455,2403,52,1,0,1,0,0,98,1,6,5,10,3,1,0,0
64961,2712,62,1,1,0,0,1,97,2,6,4,4,3,0,0,0
22804,2492,49,1,0,1,0,0,75,1,2,0,2,9,0,0,1
73687,2372,30,1,1,0,0,0,8,1,3,9,9,2,1,0,0
61074,2840,62,1,1,0,0,1,37,7,11,5,8,7,0,0,0
31686,2183,56,1,1,0,1,1,31,2,1,0,3,6,0,0,1
80134,2564,48,1,1,0,1,0,40,2,5,3,6,6,3,0,0
75027,2695,67,1,1,0,0,1,74,2,9,4,6,5,0,0,0
67546,2826,32,1,1,0,0,0,90,1,4,10,5,3,0,0,0
65176,2767,51,1,1,0,0,1,57,4,9,6,6,6,0,0,0
31160,2445,45,1,0,1,0,0,59,2,2,0,3,8,0,0,1
29938,2404,35,1,0,1,0,0,52,2,1,0,3,6,0,0,1
102692,2609,46,1,0,1,0,0,5,1,6,9,13,2,4,0,0
26490,2804,62,0,1,0,0,0,92,2,3,1,5,6,0,0,1
75702,2828,53,1,1,0,1,1,77,5,4,6,11,8,0,0,0
30899,2783,46,1,0,1,0,0,35,2,1,0,3,6,0,0,1
63342,2780,59,1,1,0,0,1,48,3,8,3,5,6,1,0,0
45989,2774,56,1,0,1,0,0,97,4,3,2,7,3,0,0,1
18701,2549,56,1,0,1,0,0,95,4,2,0,4,5,0,0,1
40737,2362,63,1,0,1,0,0,24,1,1,0,2,8,0,0,1
15287,2786,41,1,0,1,0,0,60,2,1,1,2,7,1,0,1
69674,2562,52,1,0,1,0,0,46,3,10,2,10,5,0,0,0
44159,2171,50,1,1,0,1,0,85,4,4,1,6,5,0,0,1
37717,2742,42,1,1,0,1,0,31,1,1,0,2,9,0,0,1
43776,2670,68,1,1,0,1,1,9,6,5,2,4,8,0,0,1
38179,2631,54,1,1,0,1,1,30,4,3,1,3,7,0,0,1
80124,2162,57,1,1,0,0,0,47,1,3,7,8,1,1,0,0
38097,2781,50,1,1,0,1,1,70,4,3,2,2,7,1,0,1
72940,2534,50,1,1,0,0,0,13,1,3,3,6,1,0,0,0
22070,2427,50,1,1,0,1,0,11,2,2,2,2,6,0,0,1
69267,2804,67,1,0,1,0,0,31,2,3,4,5,7,0,0,0
31788,2260,37,1,0,1,0,0,15,3,3,0,4,5,0,1,1
61905,2304,45,1,1,0,0,1,2,2,4,2,4,5,0,0,0
29315,2243,60,1,1,0,1,1,55,4,2,0,4,6,0,0,1
33378,2667,57,1,0,1,0,0,38,3,2,0,4,7,0,0,1
66313,2445,57,1,1,0,0,1,86,2,6,3,12,4,0,0,0
60714,2687,64,1,0,1,0,0,56,2,7,4,10,5,0,0,0
77882,2219,39,1,1,0,0,0,29,1,3,3,5,1,0,0,0
69867,2612,34,1,0,1,0,0,30,1,3,5,8,1,1,0,0
63841,2593,52,1,0,1,0,0,64,1,9,3,9,6,0,0,0
24480,2662,39,0,1,0,1,0,46,3,3,0,4,7,0,0,1
51369,2771,44,1,1,0,0,1,84,2,8,2,4,8,0,0,1
37760,2826,74,1,1,0,0,0,20,2,4,1,6,7,0,0,1
65640,2279,46,1,1,0,0,1,74,1,5,1,8,2,0,0,0
44319,2232,45,1,1,0,1,1,18,2,2,0,3,5,0,0,1
30631,2511,46,1,1,0,1,0,75,1,3,1,2,7,0,0,1
75278,2675,68,1,1,0,0,0,17,1,6,3,13,3,0,0,0
50898,2696,64,1,1,0,1,1,88,13,6,2,12,5,0,0,1
79946,2207,54,1,0,1,0,0,19,1,5,11,5,3,0,0,0
35416,2540,71,1,0,1,0,0,62,3,7,1,5,8,0,0,1
32414,2519,36,0,1,0,0,0,11,1,1,0,3,7,1,0,1
38361,2343,51,1,1,0,1,0,74,3,3,1,3,7,0,0,1
82497,2765,40,1,1,0,0,0,32,1,2,7,9,4,1,0,0
16626,2324,49,1,1,0,2,0,76,3,3,0,3,9,0,0,1
29672,2633,55,1,1,0,1,1,6,1,0,0,3,6,0,0,1
55951,2834,68,1,1,0,0,1,62,3,3,6,11,8,2,0,0
35388,2638,32,0,0,1,0,0,20,1,1,0,3,7,0,0,1
42386,2691,34,1,1,0,1,0,43,1,3,0,3,8,0,0,1
68627,2692,38,1,0,1,0,0,45,1,2,3,6,1,0,0,0
57912,2263,55,1,0,1,0,0,34,5,8,3,12,5,1,0,0
35246,2233,62,1,0,1,0,0,53,4,3,1,3,5,0,0,1
58821,2419,64,0,1,0,0,1,44,1,9,2,9,6,0,0,0
46377,2279,42,1,1,0,1,0,89,1,2,1,3,4,0,0,1
39747,2236,32,1,0,1,0,0,43,3,5,1,4,8,0,0,1
23976,2343,36,1,1,0,1,0,68,3,3,1,3,7,0,0,1
80950,2617,59,1,1,0,0,0,44,1,6,7,9,2,1,0,0
27038,2808,54,1,0,1,0,0,64,1,3,0,3,9,0,0,1
77457,2275,73,1,0,1,0,0,85,1,2,5,10,1,1,0,0
64100,2451,56,1,1,0,0,1,93,1,8,3,6,7,1,0,0
42670,2587,28,1,1,0,0,0,12,1,4,2,4,4,0,0,1
12571,2321,44,1,0,1,0,0,86,4,3,1,3,6,0,0,1
22574,2403,53,1,1,0,2,1,28,2,2,0,3,7,0,0,1
70893,2667,44,1,0,1,0,0,42,1,6,6,10,3,0,0,0
54198,2353,54,1,1,0,1,1,13,6,3,1,6,4,0,0,0
28839,2269,64,1,1,0,1,1,86,2,2,0,3,5,0,0,1
40321,2494,48,1,1,0,1,1,59,2,3,0,3,7,0,0,1
66503,2843,35,1,0,1,0,0,30,2,4,3,6,3,0,0,0
30833,2507,69,1,1,0,1,1,33,2,1,0,3,5,0,0,1
64795,2687,49,1,1,0,0,1,23,3,3,3,12,2,0,0,0
34421,2522,46,1,1,0,1,0,81,1,1,0,2,7,0,0,1
47025,2299,55,1,0,1,0,0,6,1,1,0,2,7,0,0,1
64325,2666,59,1,0,1,0,0,41,5,10,3,5,7,0,0,0
40464,2693,67,1,0,1,0,0,78,6,8,2,8,8,0,0,1
62187,2518,63,1,1,0,0,0,49,1,4,8,5,3,0,0,0
14849,2521,44,1,0,1,0,0,39,3,2,0,4,8,0,0,1
27255,2393,36,1,1,0,1,0,3,1,1,0,3,7,0,0,1
54432,2575,70,1,1,0,2,1,37,1,1,0,3,4,0,0,0
29999,2660,34,1,0,1,0,0,22,4,3,1,4,8,0,0,1
24072,2598,37,1,0,1,0,0,79,1,1,0,2,8,0,0,1
33996,2450,31,1,0,1,0,0,46,1,1,1,3,4,0,0,1
66334,2611,64,1,1,0,0,1,82,2,9,3,5,5,0,0,0
35178,2694,49,1,1,0,1,0,10,1,1,1,2,7,1,0,1
22010,2523,37,1,1,0,1,0,51,2,2,0,3,8,0,0,1
62204,2814,60,1,0,1,0,0,38,1,4,5,12,3,0,0,0
75693,2729,52,1,0,1,0,0,10,1,11,4,6,4,3,0,0
30675,2753,48,1,1,0,1,0,14,1,1,0,3,8,0,0,1
83003,2642,55,1,1,0,0,0,18,1,7,6,8,3,1,0,0
68655,2847,32,1,0,1,0,0,95,1,4,5,11,3,0,0,0
41411,2363,34,1,0,1,0,0,11,1,2,1,4,6,0,0,1
55212,2742,51,1,1,0,0,1,65,3,4,2,11,8,2,0,0
59292,2540,70,1,1,0,0,1,71,2,3,5,8,3,0,0,0
27190,2477,47,0,1,0,1,0,13,1,1,0,2,8,1,0,1
82623,2390,68,1,0,1,0,0,58,1,2,9,4,1,0,0,0
44300,2530,55,1,1,0,1,1,65,2,1,0,3,6,0,0,1
84835,2172,50,1,0,1,0,0,0,1,4,4,6,1,0,0,0
30372,2710,49,1,0,1,0,0,33,3,2,0,3,7,0,0,1
33181,2336,44,1,1,0,1,0,90,1,1,0,2,6,1,0,1
71113,2353,63,1,1,0,0,1,95,4,6,7,9,4,0,0,0
71952,2694,34,1,1,0,1,0,93,2,8,4,8,4,2,0,0
69759,2403,54,1,0,1,0,0,38,3,4,6,5,3,0,0,0
72099,2769,46,1,1,0,0,0,18,1,3,4,10,1,0,0,0
60000,2713,44,1,0,1,0,0,57,5,11,3,5,6,0,0,0
38643,2371,42,1,0,1,0,0,45,2,2,0,3,7,0,1,1
50737,2573,65,1,1,0,0,1,61,1,2,0,4,6,1,0,1
68462,2723,51,1,1,0,0,0,6,1,3,3,8,1,0,0,0
65073,2472,77,1,1,0,0,0,65,1,5,3,5,2,0,1,0
46681,2423,72,1,1,0,0,2,52,2,4,6,4,5,0,0,1
78618,2798,63,1,1,0,0,0,87,1,4,7,10,2,1,0,0
62187,2258,51,1,0,1,0,0,38,3,6,2,10,4,0,0,0
28442,2284,42,1,1,0,2,0,53,3,2,1,4,4,0,0,1
37717,2742,42,1,1,0,1,0,31,1,1,0,2,9,0,0,1
51479,2707,53,1,1,0,1,1,67,7,6,3,6,7,0,0,1
54803,2836,51,1,0,1,0,0,65,2,6,2,9,4,0,0,0
79530,2567,60,1,1,0,0,0,64,1,4,10,11,2,0,0,0
31615,2629,44,1,0,1,0,0,82,2,2,0,3,7,0,0,1
72025,2748,58,1,1,0,0,0,27,1,4,3,8,3,0,0,0
52614,2734,45,1,0,1,0,0,63,2,2,4,8,8,0,0,0
35684,2227,36,0,1,0,1,0,66,1,1,0,3,6,0,0,1
48178,2768,45,1,1,0,1,1,69,6,5,1,4,8,0,0,1
29548,2463,50,1,0,1,0,0,52,1,1,1,2,4,1,0,1
63810,2754,54,1,0,1,0,0,45,4,4,3,12,8,1,0,0
38578,2531,48,1,0,1,0,0,2,3,3,0,3,8,0,0,1
46098,2839,45,1,0,1,0,0,86,4,3,2,2,8,0,0,1
22585,2627,50,1,0,1,0,0,23,1,1,1,2,9,1,0,1
30279,2705,31,1,0,1,0,0,13,1,1,0,3,8,0,0,1
66426,2429,59,1,1,0,0,1,14,2,3,5,10,6,0,0,0
30822,2539,51,1,0,1,0,0,92,1,1,0,3,7,0,0,1
33581,2696,51,1,1,0,2,0,38,1,1,0,2,8,0,0,1
19986,2386,35,1,1,0,1,0,74,1,0,0,3,7,0,0,1
27421,2723,66,1,0,1,0,0,14,3,4,1,6,7,0,0,1
35688,2835,47,0,1,0,2,1,94,7,4,1,4,8,0,0,1
36143,2250,39,1,0,1,0,0,33,1,0,1,2,3,0,0,1
10245,2569,49,1,0,1,0,0,32,3,1,2,2,5,0,0,1
43795,2415,52,1,1,0,0,1,11,3,7,3,4,7,1,0,1
63381,2791,60,1,1,0,0,1,78,4,4,5,13,2,0,0,0
38823,2827,71,1,1,0,0,1,56,1,2,1,3,6,0,0,1
83664,2576,52,1,0,1,0,0,57,3,2,2,12,5,0,0,0
90300,2336,41,1,1,0,0,0,7,0,5,6,8,1,1,0,0
62499,2361,41,1,1,0,1,0,0,2,3,1,6,4,0,0,0
74293,2215,27,1,0,1,0,0,66,1,5,4,6,2,0,0,0
51012,2596,74,1,1,0,0,0,86,1,4,1,4,6,0,0,1
70777,2283,52,1,1,0,0,1,80,3,5,3,12,3,0,0,0
68682,2425,29,1,1,0,0,0,56,1,4,9,10,2,0,0,0
